StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,DBSCAN_Cluster
0.4516,0.1,1,0,0,1,0,0.0909,2,0.4,1,0.18,0.0,0,1,3,0
0.4516,0.1,1,0,0,1,0,0.4545,3,0.8,0,0.8,0.4333,0,1,2,1
0.4516,0.1,1,0,0,1,0,0.9091,1,0.95,0,0.34,0.9833,1,1,0,1
0.4516,0.1,1,1,0,1,0,0.0909,2,0.4,1,0.18,0.0,0,1,3,2
0.4516,0.1,1,1,0,1,0,0.4545,3,0.8,0,0.8,0.4333,0,1,2,3
0.4516,0.1,1,1,0,1,0,0.9091,1,0.95,0,0.34,0.9833,1,1,0,3
0.4516,0.1,0,1,0,1,0,0.0909,2,0.4,1,0.18,0.0,0,1,3,2
0.4516,0.1,0,1,0,1,0,0.4545,3,0.8,0,0.8,0.4333,0,1,2,3
0.4516,0.1,0,1,0,1,0,0.9091,1,0.95,0,0.34,0.9833,1,1,0,3
0.4516,0.1,1,1,1,1,0,0.0909,2,0.4,1,0.18,0.0,0,1,3,2
0.4516,0.1,1,1,1,1,0,0.4545,3,0.8,0,0.8,0.4333,0,1,2,3
0.4516,0.1,1,1,1,1,0,0.9091,1,0.95,0,0.34,0.9833,1,1,0,3
0.4516,0.1,2,0,1,1,0,0.0909,2,0.4,1,0.18,0.0,0,1,3,0
0.4516,0.1,2,0,1,1,0,0.4545,3,0.8,0,0.8,0.4333,0,1,2,1
0.4516,0.1,2,0,1,1,0,0.9091,1,0.95,0,0.34,0.9833,1,1,0,1
0.6129,0.95,1,1,1,1,1,1.0,0,0.15,0,0.3,0.1,1,2,3,3
0.6129,0.95,1,1,1,1,1,0.8182,0,0.0,1,0.42,0.7167,1,0,1,2
0.6129,0.95,1,1,1,1,1,0.6364,1,0.25,1,0.22,0.9167,1,0,0,2
0.6129,0.95,0,0,2,1,1,1.0,0,0.15,0,0.3,0.1,1,2,3,1
0.6129,0.95,0,0,2,1,1,0.8182,0,0.0,1,0.42,0.7167,1,0,1,0
0.6129,0.95,0,0,2,1,1,0.6364,1,0.25,1,0.22,0.9167,1,0,0,0
0.6129,0.95,0,0,1,1,1,1.0,0,0.15,0,0.3,0.1,1,2,3,1
0.6129,0.95,0,0,1,1,1,0.8182,0,0.0,1,0.42,0.7167,1,0,1,0
0.6129,0.95,0,0,1,1,1,0.6364,1,0.25,1,0.22,0.9167,1,0,0,0
0.6129,0.95,1,1,2,1,1,1.0,0,0.15,0,0.3,0.1,1,2,3,3
0.6129,0.95,1,1,2,1,1,0.8182,0,0.0,1,0.42,0.7167,1,0,1,2
0.6129,0.95,1,1,2,1,1,0.6364,1,0.25,1,0.22,0.9167,1,0,0,2
0.6129,0.95,0,0,0,0,1,1.0,0,0.15,0,0.3,0.1,1,2,3,1
0.6129,0.95,0,0,0,0,1,0.8182,0,0.0,1,0.42,0.7167,1,0,1,0
0.6129,0.95,0,0,0,0,1,0.6364,1,0.25,1,0.22,0.9167,1,0,0,0
0.7742,0.725,1,1,1,1,1,0.1818,0,0.85,1,0.5,0.2333,1,2,3,2
0.7742,0.725,1,1,1,1,1,0.4545,2,0.2,1,0.18,0.0333,1,2,3,2
0.7742,0.725,1,1,1,1,1,0.4545,0,0.05,0,0.92,0.3667,1,2,2,3
0.7742,0.725,0,1,0,1,1,0.1818,0,0.85,1,0.5,0.2333,1,2,3,2
0.7742,0.725,0,1,0,1,1,0.4545,2,0.2,1,0.18,0.0333,1,2,3,2
0.7742,0.725,0,1,0,1,1,0.4545,0,0.05,0,0.92,0.3667,1,2,2,3
0.4516,0.8,1,1,1,1,0,0.0909,3,0.6,1,0.26,0.0,1,2,3,2
0.4516,0.8,1,1,1,1,0,0.7273,2,0.15,0,0.72,0.9,1,2,0,3
0.4516,0.8,2,0,1,1,0,0.0909,3,0.6,1,0.26,0.0,1,2,3,0
0.4516,0.8,2,0,1,1,0,0.7273,2,0.15,0,0.72,0.9,1,2,0,1
0.4516,0.8,2,1,1,1,0,0.0909,3,0.6,1,0.26,0.0,1,2,3,2
0.4516,0.8,2,1,1,1,0,0.7273,2,0.15,0,0.72,0.9,1,2,0,3
0.4516,0.8,1,0,2,1,0,0.0909,3,0.6,1,0.26,0.0,1,2,3,0
0.4516,0.8,1,0,2,1,0,0.7273,2,0.15,0,0.72,0.9,1,2,0,1
0.7742,0.6,0,1,0,1,1,0.2727,2,0.5,1,0.14,0.1333,1,2,3,2
0.7742,0.6,0,1,0,1,1,0.9091,2,0.7,0,0.48,0.3333,1,0,2,3
0.7742,0.6,1,1,1,1,1,0.2727,2,0.5,1,0.14,0.1333,1,2,3,2
0.7742,0.6,1,1,1,1,1,0.9091,2,0.7,0,0.48,0.3333,1,0,2,3
0.6452,0.45,2,1,1,1,1,0.0,2,0.85,0,0.82,0.3,1,2,2,3
0.6452,0.45,0,1,1,1,1,0.0,2,0.85,0,0.82,0.3,1,2,2,3
0.3871,0.85,2,0,2,1,1,0.0909,3,0.15,1,0.48,0.8667,0,2,0,0
0.3871,0.85,1,0,0,1,1,0.0909,3,0.15,1,0.48,0.8667,0,2,0,0
0.3871,0.85,1,0,1,1,1,0.0909,3,0.15,1,0.48,0.8667,0,2,0,0
0.3871,0.85,1,1,1,1,1,0.0909,3,0.15,1,0.48,0.8667,0,2,0,2
0.3871,0.85,0,0,2,1,1,0.0909,3,0.15,1,0.48,0.8667,0,2,0,0
0.3871,0.85,0,1,0,1,1,0.0909,3,0.15,1,0.48,0.8667,0,2,0,2
0.3871,0.85,2,1,1,1,1,0.0909,3,0.15,1,0.48,0.8667,0,2,0,2
0.5806,0.95,1,1,1,1,1,0.8182,2,0.25,0,0.3,0.3,0,2,2,3
0.5806,0.95,1,1,1,1,1,0.8182,1,0.2,1,1.0,0.8833,0,2,0,2
0.5806,0.95,0,0,1,1,1,0.8182,2,0.25,0,0.3,0.3,0,2,2,1
0.5806,0.95,0,0,1,1,1,0.8182,1,0.2,1,1.0,0.8833,0,2,0,0
0.5806,0.95,2,0,1,1,1,0.8182,2,0.25,0,0.3,0.3,0,2,2,1
0.5806,0.95,2,0,1,1,1,0.8182,1,0.2,1,1.0,0.8833,0,2,0,0
